Date,B1,B2,B3,B4,B5,P1
"Monday, July 6, 2026",17,44,63,66,67,4
"Saturday, July 4, 2026",17,38,46,50,69,20
"Wednesday, July 1, 2026",2,6,26,39,68,6
"Monday, June 29, 2026",10,14,41,53,59,3
"Saturday, June 27, 2026",3,16,28,30,59,11
"Wednesday, June 24, 2026",13,14,16,21,38,14
"Monday, June 22, 2026",17,19,21,45,48,13
"Saturday, June 20, 2026",16,20,44,48,50,15
"Wednesday, June 17, 2026",3,26,49,53,61,12
"Monday, June 15, 2026",25,55,57,60,62,23
"Saturday, June 13, 2026",3,13,44,50,53,2
"Wednesday, June 10, 2026",12,31,38,60,66,14
"Monday, June 8, 2026",3,24,34,43,49,20
"Saturday, June 6, 2026",16,32,55,59,64,3
"Wednesday, June 3, 2026",14,16,38,55,64,12
"Monday, June 1, 2026",2,42,47,57,58,14
"Saturday, May 30, 2026",1,27,35,44,52,12
"Wednesday, May 27, 2026",5,14,21,31,51,13
"Monday, May 25, 2026",17,32,48,60,64,10
"Saturday, May 23, 2026",4,16,41,48,66,26
"Wednesday, May 20, 2026",10,28,30,46,57,25
"Monday, May 18, 2026",4,13,34,61,65,12
"Saturday, May 16, 2026",8,37,40,44,65,18
"Wednesday, May 13, 2026",22,31,52,56,67,15
"Monday, May 11, 2026",24,30,37,56,64,7
"Saturday, May 9, 2026",15,41,46,47,56,22
"Wednesday, May 6, 2026",18,27,51,65,68,5
"Monday, May 4, 2026",30,36,42,60,63,13
"Saturday, May 2, 2026",25,37,42,52,65,14
"Wednesday, April 29, 2026",3,19,35,51,67,15
"Monday, April 27, 2026",18,31,33,36,62,3
"Saturday, April 25, 2026",4,30,36,52,57,2
"Wednesday, April 22, 2026",24,29,32,49,63,11
"Monday, April 20, 2026",9,17,36,47,64,26
"Saturday, April 18, 2026",24,25,39,46,61,1
"Wednesday, April 15, 2026",13,21,27,43,45,26
"Monday, April 13, 2026",38,43,59,63,64,15
"Saturday, April 11, 2026",6,47,49,53,60,6
"Wednesday, April 8, 2026",3,16,17,42,52,3
"Monday, April 6, 2026",7,24,37,42,57,5
"Saturday, April 4, 2026",3,6,13,41,65,1
"Wednesday, April 1, 2026",4,10,11,52,64,24
"Monday, March 30, 2026",7,11,31,41,57,20
"Saturday, March 28, 2026",11,42,43,59,61,25
"Wednesday, March 25, 2026",7,21,55,56,64,26
"Monday, March 23, 2026",12,18,47,56,63,1
"Saturday, March 21, 2026",12,28,36,41,59,2
"Wednesday, March 18, 2026",14,18,19,21,69,1
"Monday, March 16, 2026",7,10,20,47,52,20
"Saturday, March 14, 2026",9,30,42,50,52,21
"Wednesday, March 11, 2026",3,6,55,58,63,12
"Monday, March 9, 2026",22,23,28,36,54,13
"Saturday, March 7, 2026",17,18,30,50,68,24
"Wednesday, March 4, 2026",7,14,42,47,56,6
"Monday, March 2, 2026",2,17,18,38,62,20
"Saturday, February 28, 2026",6,20,35,54,65,10
"Wednesday, February 25, 2026",50,52,54,56,64,23
"Monday, February 23, 2026",5,11,23,29,47,6
"Saturday, February 21, 2026",27,28,36,48,49,21
"Wednesday, February 18, 2026",9,33,52,64,66,1
"Monday, February 16, 2026",16,18,19,56,58,6
"Saturday, February 14, 2026",23,43,58,60,64,24
"Wednesday, February 11, 2026",6,20,33,40,48,5
"Monday, February 9, 2026",6,19,22,28,48,24
"Saturday, February 7, 2026",25,36,42,51,58,6
"Wednesday, February 4, 2026",27,29,30,37,58,15
"Monday, February 2, 2026",3,8,31,60,65,4
"Saturday, January 31, 2026",2,8,14,40,63,23
"Wednesday, January 28, 2026",21,35,40,46,68,11
"Monday, January 26, 2026",21,31,51,60,63,18
"Saturday, January 24, 2026",2,16,35,61,63,5
"Wednesday, January 21, 2026",11,26,27,53,55,12
"Monday, January 19, 2026",5,28,34,37,55,17
"Saturday, January 17, 2026",5,8,27,49,57,14
"Wednesday, January 14, 2026",6,24,39,43,51,2
"Monday, January 12, 2026",5,27,45,56,59,4
"Saturday, January 10, 2026",5,19,21,28,64,14
"Wednesday, January 7, 2026",15,28,57,58,63,23
"Monday, January 5, 2026",4,18,24,51,56,14
"Saturday, January 3, 2026",18,21,40,53,60,23
"Wednesday, December 31, 2025",11,18,21,24,38,26
"Monday, December 29, 2025",11,19,34,48,53,21
"Saturday, December 27, 2025",5,20,34,39,62,1
"Wednesday, December 24, 2025",4,25,31,52,59,19
"Monday, December 22, 2025",3,18,36,41,54,7
"Saturday, December 20, 2025",4,5,28,52,69,20
"Wednesday, December 17, 2025",23,33,53,62,66,17
"Monday, December 15, 2025",23,35,59,63,68,2
"Saturday, December 13, 2025",1,28,31,57,58,16
"Wednesday, December 10, 2025",10,16,29,33,69,22
"Monday, December 8, 2025",8,32,52,56,64,23
"Saturday, December 6, 2025",13,14,26,28,44,7
"Wednesday, December 3, 2025",1,14,20,46,51,26
"Monday, December 1, 2025",5,18,26,47,59,1
"Saturday, November 29, 2025",19,22,30,32,59,1
"Wednesday, November 26, 2025",7,8,15,19,28,3
"Monday, November 24, 2025",8,16,26,30,58,14
"Saturday, November 22, 2025",28,32,36,51,69,2
"Wednesday, November 19, 2025",10,31,49,51,68,19
"Monday, November 17, 2025",7,33,50,57,66,23
"Saturday, November 15, 2025",6,7,12,47,53,21
"Wednesday, November 12, 2025",29,39,43,51,65,23
"Monday, November 10, 2025",6,28,44,48,58,23
"Saturday, November 8, 2025",3,53,60,62,68,11
"Wednesday, November 5, 2025",9,17,29,61,66,26
"Monday, November 3, 2025",3,32,40,43,57,18
"Saturday, November 1, 2025",2,26,43,44,62,22
"Wednesday, October 29, 2025",4,24,49,60,65,1
"Monday, October 27, 2025",17,39,43,51,66,20
"Saturday, October 25, 2025",2,12,22,39,67,15
"Wednesday, October 22, 2025",18,37,52,54,60,12
"Monday, October 20, 2025",32,38,66,67,69,19
"Saturday, October 18, 2025",3,11,27,40,58,10
"Wednesday, October 15, 2025",10,13,28,34,47,15
"Monday, October 13, 2025",13,14,32,52,64,12
"Saturday, October 11, 2025",13,16,18,20,27,10
"Wednesday, October 8, 2025",8,10,44,48,54,14
"Monday, October 6, 2025",28,29,32,66,67,3
"Saturday, October 4, 2025",3,7,47,67,68,2
"Wednesday, October 1, 2025",8,17,22,28,55,14
"Monday, September 29, 2025",1,3,27,60,65,16
"Saturday, September 27, 2025",10,16,32,61,66,4
"Wednesday, September 24, 2025",15,31,45,49,53,19
"Monday, September 22, 2025",3,29,42,46,59,15
"Saturday, September 20, 2025",15,29,64,66,67,4
"Wednesday, September 17, 2025",7,30,50,54,62,20
"Monday, September 15, 2025",14,15,32,42,49,1
"Saturday, September 13, 2025",28,37,42,50,53,19
"Wednesday, September 10, 2025",2,24,45,53,64,5
"Monday, September 8, 2025",26,28,41,53,64,9
"Saturday, September 6, 2025",11,23,44,61,62,17
"Wednesday, September 3, 2025",3,16,29,61,69,22
"Monday, September 1, 2025",8,23,25,40,53,5
"Saturday, August 30, 2025",3,18,22,27,33,17
"Wednesday, August 27, 2025",9,12,22,41,61,25
"Monday, August 25, 2025",16,19,34,37,64,22
"Saturday, August 23, 2025",11,14,34,47,51,18
"Wednesday, August 20, 2025",31,59,62,65,68,5
"Monday, August 18, 2025",15,46,61,63,64,1
"Saturday, August 16, 2025",23,40,49,65,69,23
"Wednesday, August 13, 2025",4,11,40,44,50,4
"Monday, August 11, 2025",6,16,33,40,62,2
"Saturday, August 9, 2025",7,14,23,24,60,14
"Wednesday, August 6, 2025",15,27,43,45,53,9
"Monday, August 4, 2025",8,9,19,31,38,21
"Saturday, August 2, 2025",6,18,34,35,36,2
"Wednesday, July 30, 2025",4,15,35,50,64,8
"Monday, July 28, 2025",7,35,36,43,62,3
"Saturday, July 26, 2025",8,31,57,65,67,23
"Wednesday, July 23, 2025",2,18,19,25,35,25
